GEOID20,District
34005025201,7
34005025202,7
34005025203,5
34005025301,7
34005025302,7
34005025303,7
34005025401,7
34005025402,7
34005025403,5
34005030001,5
34005030002,5
34005030003,5
34005030004,5
34005030005,7
34005030006,5
34005030007,7
34005030008,7
34005030009,7
34005030010,7
34005030011,7
34005030012,7
34005030013,7
34005030014,6
34005030015,6
34005030016,7
34005030017,7
34005030018,6
34005030019,7
34005035001,8
34005035002,6
34005040001,5
34005040002,5
34005040003,5
34005040004,5
34005040005,5
34005040006,5
34005040007,5
34005040008,5
34005040009,5
34005040010,5
34005040011,5
34005040012,5
34005040013,5
34005040014,5
34005040015,5
34005040016,5
34005040017,5
34005040018,5
34005040019,5
34005040020,5
34005045001,5
34005045002,5
34005045003,5
34005045004,5
34005045005,5
34005045006,5
34005050101,5
34005050102,5
34005050103,5
34005050104,5
34005050105,5
34005050106,5
34005050201,5
34005050202,5
34005050203,5
34005050204,5
34005050205,5
34005050206,5
34005050301,5
34005050302,5
34005050303,5
34005050304,5
34005050305,5
34005050306,5
34005055001,6
34005055002,6
34005055003,6
34005055004,6
34005055007,6
34005060001,5
34005060002,5
34005060003,5
34005060004,5
34005060005,5
34005060006,5
34005060007,5
34005060008,5
34005065001,7
34005065002,7
34005065003,7
34005065004,7
34005065005,7
34005065006,7
34005065007,7
34005065008,7
34005065009,7
34005065010,7
34005065011,7
34005065012,7
34005065013,7
34005065014,7
34005065015,7
34005065016,7
34005065017,7
34005065018,7
34005065019,1
34005065020,1
34005065021,7
34005065022,1
34005065023,7
34005065024,7
34005065025,7
34005065026,7
34005065027,7
34005065028,7
34005065029,1
34005065030,7
34005065031,7
34005065032,7
34005070001,7
34005075101,7
34005075102,7
34005075103,7
34005075201,7
34005075202,7
34005075203,7
34005075301,7
34005075302,7
34005075303,7
34005080001,7
34005080002,7
34005080003,7
34005080004,7
34005080005,7
34005090001,7
34005090002,7
34005090003,6
34005090004,7
34005090005,7
34005090006,7
34005090007,6
34005090008,7
34005095001,6
34005095002,6
34005095003,7
34005095004,7
34005095005,7
34005095006,6
34005095008,6
34005100001,5
34005100002,5
34005100003,5
34005100004,5
34005100005,5
34005100006,5
34005100007,5
34005100008,5
34005100009,5
34005100010,5
34005100011,5
34005100012,5
34005100013,5
34005100014,5
34005100015,5
34005100016,7
34005100017,5
34005100018,5
34005100019,5
34005105001,7
34005105002,7
34005105003,7
34005105004,7
34005105005,7
34005105006,7
34005105007,1
34005105008,7
34005105009,7
34005105010,7
34005105011,7
34005105012,1
34005105013,7
34005105014,7
34005105015,7
34005105016,1
34005105017,7
34005110001,1
34005110002,1
34005110003,1
34005110004,7
34005115001,5
34005115002,5
34005115003,5
34005115004,5
34005115005,5
34005115006,5
34005115007,5
34005115008,5
34005115009,5
34005115010,5
34005115011,5
34005115012,5
34005115013,5
34005115014,5
34005115015,5
34005115016,7
34005115017,7
34005115018,5
34005115019,5
34005115020,5
34005120001,6
34005120002,7
34005120003,6
34005120004,6
34005120005,7
34005120006,7
34005120007,6
34005125001,7
34005125002,7
34005125003,7
34005125004,7
34005125005,7
34005125006,7
34005125007,7
34005125008,7
34005125009,7
34005125010,7
34005125011,7
34005125012,7
34005125013,7
34005125014,7
34005125015,7
34005125016,7
34005125017,7
34005125018,7
34005125019,7
34005125020,7
34005125021,7
34005125022,7
34005125023,7
34005125024,7
34005125025,7
34005125026,7
34005125027,7
34005130001,6
34005135001,6
34005135002,6
34005135003,6
34005140001,5
34005140002,5
34005140003,5
34005140004,5
34005140005,5
